DOI,Materials_Alloys
10.1007/s40195-025-01825-1,"al–si–mg–zr alloy, lpbf, alsimgzr, tib2/al–si–mg–zr alloy"
10.1016/j.apenergy.2024.122901,"b0.3er0.5al0.2n"
10.1016/j.commatsci.2025.113875,"ti-au"
10.1016/j.engappai.2024.107902,"heas_mpeas"
10.1016/j.ijsolstr.2024.112894,"al, ti3au, nanoindentation, al2cu"
10.1016/j.jallcom.2024.174876,"nt_cu, cu6sn5"
10.1016/j.jestch.2023.101413,"au-ti"
10.1016/j.measurement.2024.114123,"lewis_number"
10.1016/j.msea.2025.148865,"yield_strength, alsimgzr"
10.1016/j.scriptamat.2024.116027,"ti-cr alloy"
10.1016/j.surfin.2023.102728,"lewis_number, cu6sn5, solder interconnects"
10.1080/17452759.2024.2416518,"lpbf, alsimgzr, metallic_glass"
10.1109/ICEPT56209.2022.9873310,"cu6sn5 imc"
10.3390/met12060964,"heas_mpeas"
10.3390/met12111884,"strontium titanate, steel sheet, nanoindentation"
10.26434/chemrxiv-2025-sk6h5,"alsimgzr, sdss_2507, nanoindentation, laser_power, fe"
